date,story,product,architecture,engineering,qa,ux,composite,decision
2026-06-01,S1-auth,9,9,9,8,9,88,bridge-gaps
2026-06-01,S1-auth,10,10,10,10,10,100,ship
2026-06-01,S1-auth,10,10,10,10,10,100,shipped-pr1-2c93614
2026-06-01,S2-upload,8,9,9,9,8,86,bridge-gaps
2026-06-01,S2-upload,10,10,10,10,10,100,ship
2026-06-01,S2-upload,10,10,10,10,10,100,shipped-pr2-22f6b30
2026-06-01,S3-qa,9,9,8,9,9,88,bridge-gaps
2026-06-01,S3-qa,10,10,10,10,10,100,ship
2026-06-01,S3-qa,10,10,10,10,10,100,shipped-pr3-1d3af51
2026-06-01,S4-pricing,6,8,9,9,8,80,bridge-gaps
2026-06-01,S4-pricing,9,10,10,10,9,96,ship
2026-06-02,S4-pricing,10,10,10,10,10,100,ship
2026-06-02,S4-pricing,10,10,10,10,10,100,shipped-pr4-d562f19
2026-06-02,S5-deploy,10,8,10,10,10,96,ship
2026-06-02,S5-deploy,10,10,10,10,10,100,ship
2026-06-02,S5-deploy,10,10,10,10,10,100,shipped-pr5-9bc1af3
2026-06-02,S6-tap-payments,9,8,9,9,9,88,bridge-L3-pending-ci
2026-06-02,S6-tap-payments,9,9,9,9,9,90,ship-ci-green-pr8-awaiting-merge
2026-06-02,S6-tap-payments,9,9,9,9,9,90,shipped-pr8-8a80179
2026-06-02,S7-sms-2fa,10,9,10,9,10,96,ship-ci-green-pr9-awaiting-merge
2026-06-02,S7-sms-2fa,10,9,10,9,10,96,shipped-pr9-5985c80
2026-06-02,S8-founder-panel,9,10,10,9,9,94,ship-ci-green-pr12-authorized-merge
2026-06-02,S8-founder-panel,9,10,10,9,9,94,shipped-pr12-017c5bc
2026-06-02,S9-audit-export,9,9,9,9,8,88,bridge-ux-contrast-cta
2026-06-02,S9-audit-export,9,9,9,9,9,90,bridged-ux-axe-0-violations
2026-06-02,S9-audit-export,9,9,9,9,9,90,shipped-pr14-b90c3c9
2026-06-02,a11y-button-token,10,10,10,10,10,100,shipped-pr16-9c2e7e4
2026-06-02,S10-ksa-migration,9,9,9,9,9,90,ship-ci-green-pr18-awaiting-merge
2026-06-02,S10-ksa-migration,9,9,9,9,9,90,shipped-pr18-9ddfa28
2026-06-02,S11-airgap-mode,9,9,9,9,9,90,score-ci-green-pr21-awaiting-merge
2026-06-02,S11-airgap-mode,9,9,9,9,9,90,shipped-pr21-2678e4d
2026-06-02,S12-branding,9,9,10,9,10,94,score-ci-green-pr23-awaiting-merge
2026-06-02,S12-branding,9,9,10,9,10,94,shipped-pr23-4680092
2026-06-02,S13-document-versioning,9,9,9,9,9,90,score-ci-green-pr25-awaiting-merge
2026-06-02,S13-document-versioning,9,9,9,9,9,90,shipped-pr25-e02b114
2026-06-03,codebase-qa-hardening,10,10,10,10,10,100,fix-pr-pending-merge
